"id","EXIST_VARS","FORALL_VARS","TOTAL_VARS","CLAUSES","LITERALS","EXIST_SET","FORALL_SET","TOTAL_SET","UNARY_CLAUSES","BINARY_CLAUSES","TERNARY_MORE_CLAUSES","POS_HORN","NEG_HORN","EXIST_LIT_PER_CLAUSE","FORALL_LIT_PER_CLAUSE","EXIST_VARS_PER_SET","FORALL_POS_LITS_PER_CLAUSE","FORALL_NEG_LITS_PER_CLAUSE","OCCS_POS_NO_PER_VAR","OCCS_FORALL_NO_PER_VAR","OCCS_FORALL_POS_NO_PER_VAR","W_OCCS_POS_NO_PER_VAR","W_OCCS_FORALL_NO_PER_VAR","W_OCCS_FORALL_POS_NO_PER_VAR","W_PRODUCTS","LITN_LIT","LITEP_LIT","LITEN_LITE","LITEN_LITN","LITFN_LIT","LITFP_LITFN","OCCP_OCCN","OCCE_OCC","OCCEN_OCC","OCCFP_OCCF","OCCEN_OCCE","OCCEN_OCCN","OCCFP_OCCFN","TERMORE_CLAUSE","NEG_HORN_CLAUSE","WOCCN_WOCC","WOCCEP_WOCC","WOCCFN_WOCC","WOCCEP_WOCCE","WOCCEP_WOCCP","WOCCFN_WOCCN","Class"
"Qq2k3k3v20v20m120s8",20,20,40,120,720,1,1,2,0,0,120,15,17,3,3,20,1.575,1.425,9.025,18,9.45,13.325,18,9.45,162.5,0.498611,0.238889,0.522222,0.523677,0.2375,1.105263,1.005571,1,0.522222,0.525,0.522222,1.047354,1.105263,1,0.141667,0.506481,0.637037,0.316667,0.477778,1.290807,0.625229,"sKizzo"
"Qq2k3k3v20v20m120s9",20,20,40,120,720,1,1,2,0,0,120,12,12,3,3,20,1.508333,1.491667,8.9,18,9.05,13.275,18,9.05,162.5,0.505556,0.243056,0.513889,0.508242,0.248611,1.011173,0.978022,1,0.513889,0.502778,0.513889,1.016484,1.011173,1,0.1,0.508333,0.648148,0.331481,0.486111,1.318267,0.652095,"sKizzo"
"Qq2k3k3v20v20m160s1",20,20,40,160,960,1,1,2,0,0,160,11,20,3,3,20,1.51875,1.48125,12.675,24,12.15,19.275,24,12.15,293.5,0.471875,0.275,0.45,0.476821,0.246875,1.025316,1.119205,1,0.45,0.50625,0.45,0.953642,1.025316,1,0.125,0.464583,0.733333,0.329167,0.55,1.36965,0.70852,"QuBE"
"Qq2k3k3v20v20m160s10",20,20,40,160,960,1,1,2,0,0,160,20,13,3,3,20,1.4625,1.5375,11.525,24,11.7,17.2,24,11.7,279.8,0.519792,0.236458,0.527083,0.507014,0.25625,0.95122,0.923848,1,0.527083,0.4875,0.527083,1.014028,0.95122,1,0.08125,0.522222,0.630556,0.341667,0.472917,1.319767,0.654255,"QuBE"
"Qq2k3k3v20v20m160s2",20,20,40,160,960,1,1,2,0,0,160,22,16,3,3,20,1.45,1.55,11.875,24,11.6,17.95,24,11.6,292.8,0.505208,0.253125,0.49375,0.48866,0.258333,0.935484,0.979381,1,0.49375,0.483333,0.49375,0.97732,0.935484,1,0.1,0.501389,0.675,0.344444,0.50625,1.35376,0.686981,"sKizzo"
"Qq2k3k3v20v20m160s3",20,20,40,160,960,1,1,2,0,0,160,20,20,3,3,20,1.50625,1.49375,12.025,24,12.05,18.025,24,12.05,287.9,0.498958,0.25,0.5,0.501044,0.248958,1.008368,1.004175,1,0.5,0.502083,0.5,1.002088,1.008368,1,0.125,0.499306,0.666667,0.331944,0.5,1.331484,0.664812,"QuBE"
"Qq2k3k3v20v20m160s4",20,20,40,160,960,1,1,2,0,0,160,20,13,3,3,20,1.4375,1.5625,11.425,24,11.5,17.1,24,11.5,293.4,0.523958,0.236458,0.527083,0.502982,0.260417,0.92,0.908549,1,0.527083,0.479167,0.527083,1.005964,0.92,1,0.08125,0.525,0.630556,0.347222,0.472917,1.327485,0.661376,"QuBE"
"Qq2k3k3v20v20m160s5",20,20,40,160,960,1,1,2,0,0,160,17,11,3,3,20,1.45,1.55,11.45,24,11.6,17.1,24,11.6,285.8,0.522917,0.235417,0.529167,0.505976,0.258333,0.935484,0.912351,1,0.529167,0.483333,0.529167,1.011952,0.935484,1,0.06875,0.525,0.627778,0.344444,0.470833,1.321637,0.656085,"QuBE"
"Qq2k3k3v20v20m160s6",20,20,40,160,960,1,1,2,0,0,160,23,16,3,3,20,1.44375,1.55625,11.65,24,11.55,17.525,24,11.55,287.4,0.514583,0.244792,0.510417,0.495951,0.259375,0.927711,0.94332,1,0.510417,0.48125,0.510417,0.991903,0.927711,1,0.1,0.513194,0.652778,0.345833,0.489583,1.340942,0.673884,"QuBE"
"Qq2k3k3v20v20m160s7",20,20,40,160,960,1,1,2,0,0,160,13,21,3,3,20,1.475,1.525,12.075,24,11.8,18.25,24,11.8,289.1,0.496875,0.257292,0.485417,0.48847,0.254167,0.967213,1.012579,1,0.485417,0.491667,0.485417,0.976939,0.967213,1,0.13125,0.493056,0.686111,0.338889,0.514583,1.353425,0.687324,"QuBE"
"Qq2k3k3v20v20m160s8",20,20,40,160,960,1,1,2,0,0,160,20,20,3,3,20,1.5625,1.4375,11.775,24,12.5,17.3,24,12.5,282.4,0.509375,0.230208,0.539583,0.529652,0.239583,1.086957,0.96319,1,0.539583,0.520833,0.539583,1.059305,1.086957,1,0.125,0.519444,0.613889,0.319444,0.460417,1.277457,0.614973,"QuBE"
"Qq2k3k3v20v20m160s9",20,20,40,160,960,1,1,2,0,0,160,19,17,3,3,20,1.4875,1.5125,11.875,24,11.9,17.8,24,11.9,283.9,0.505208,0.246875,0.50625,0.501031,0.252083,0.983471,0.979381,1,0.50625,0.495833,0.50625,1.002062,0.983471,1,0.10625,0.505556,0.658333,0.336111,0.49375,1.331461,0.664835,"QuBE"
"Qq2k3k3v20v20m200s1",20,20,40,200,1200,1,1,2,0,0,200,18,23,3,3,20,1.51,1.49,15.45,30,15.1,23.35,30,15.1,461.3,0.485,0.263333,0.473333,0.487973,0.248333,1.013423,1.061856,1,0.473333,0.503333,0.473333,0.975945,1.013423,1,0.115,0.481111,0.702222,0.331111,0.526667,1.353319,0.688222,"sSolve"
"Qq2k3k3v20v20m200s10",20,20,40,200,1200,1,1,2,0,0,200,25,19,3,3,20,1.475,1.525,14.525,30,14.75,21.675,30,14.75,441.2,0.515833,0.238333,0.523333,0.50727,0.254167,0.967213,0.938611,1,0.523333,0.491667,0.523333,1.01454,0.967213,1,0.095,0.518333,0.635556,0.338889,0.476667,1.319493,0.653805,"sSolve"
"Qq2k3k3v20v20m200s2",20,20,40,200,1200,1,1,2,0,0,200,27,19,3,3,20,1.44,1.56,14.8,30,14.4,22.4,30,14.4,452.2,0.506667,0.253333,0.493333,0.486842,0.26,0.923077,0.973684,1,0.493333,0.48,0.493333,0.973684,0.923077,1,0.095,0.502222,0.675556,0.346667,0.506667,1.357143,0.690265,"sSolve"
"Qq2k3k3v20v20m200s3",20,20,40,200,1200,1,1,2,0,0,200,28,25,3,3,20,1.475,1.525,14.925,30,14.75,22.475,30,14.75,441.4,0.5025,0.251667,0.496667,0.494196,0.254167,0.967213,0.99005,1,0.496667,0.491667,0.496667,0.988391,0.967213,1,0.125,0.500556,0.671111,0.338889,0.503333,1.343715,0.677026,"sSolve"
"Qq2k3k3v20v20m200s4",20,20,40,200,1200,1,1,2,0,0,200,23,19,3,3,20,1.51,1.49,14.625,30,15.1,21.7,30,15.1,455.4,0.5125,0.235833,0.528333,0.515447,0.248333,1.013423,0.95122,1,0.528333,0.503333,0.528333,1.030894,1.013423,1,0.095,0.517778,0.628889,0.331111,0.471667,1.304147,0.639485,"sSolve"
"Qq2k3k3v20v20m200s5",20,20,40,200,1200,1,1,2,0,0,200,21,16,3,3,20,1.465,1.535,14.6,30,14.65,21.875,30,14.65,443.4,0.513333,0.2425,0.515,0.501623,0.255833,0.954397,0.948052,1,0.515,0.488333,0.515,1.003247,0.954397,1,0.08,0.513889,0.646667,0.341111,0.485,1.330286,0.663784,"sSolve"
"Qq2k3k3v20v20m200s6",20,20,40,200,1200,1,1,2,0,0,200,27,20,3,3,20,1.48,1.52,14.65,30,14.8,21.9,30,14.8,453.8,0.511667,0.241667,0.516667,0.504886,0.253333,0.973684,0.954397,1,0.516667,0.493333,0.516667,1.009772,0.973684,1,0.1,0.513333,0.644444,0.337778,0.483333,1.324201,0.658009,"sSolve"
"Qq2k3k3v20v20m200s7",20,20,40,200,1200,1,1,2,0,0,200,19,27,3,3,20,1.48,1.52,15.075,30,14.8,22.75,30,14.8,451.5,0.4975,0.255833,0.488333,0.490787,0.253333,0.973684,1.01005,1,0.488333,0.493333,0.488333,0.981575,0.973684,1,0.135,0.494444,0.682222,0.337778,0.511667,1.349451,0.683146,"sSolve"
"Qq2k3k3v20v20m200s8",20,20,40,200,1200,1,1,2,0,0,200,24,22,3,3,20,1.54,1.46,14.675,30,15.4,21.65,30,15.4,442.1,0.510833,0.2325,0.535,0.523654,0.243333,1.054795,0.957586,1,0.535,0.513333,0.535,1.047308,1.054795,1,0.11,0.518889,0.62,0.324444,0.465,1.288684,0.625268,"sSolve"
"Qq2k3k3v20v20m200s9",20,20,40,200,1200,1,1,2,0,0,200,25,24,3,3,20,1.495,1.505,14.875,30,14.95,22.275,30,14.95,444.1,0.504167,0.246667,0.506667,0.502479,0.250833,0.993355,0.983471,1,0.506667,0.498333,0.506667,1.004959,0.993355,1,0.12,0.505,0.657778,0.334444,0.493333,1.328844,0.662266,"sSolve"
"Qq2k3k3v20v20m240s1",20,20,40,240,1440,1,1,2,0,0,240,22,29,3,3,20,1.520833,1.479167,18.625,36,18.25,28.125,36,18.25,660.5,0.482639,0.263889,0.472222,0.489209,0.246528,1.028169,1.071942,1,0.472222,0.506944,0.472222,0.978417,1.028169,1,0.120833,0.479167,0.703704,0.328704,0.527778,1.351111,0.68599,"sSolve"
"Qq2k3k3v20v20m240s10",20,20,40,240,1440,1,1,2,0,0,240,27,21,3,3,20,1.479167,1.520833,17.5,36,17.75,26.125,36,17.75,640.3,0.513889,0.239583,0.520833,0.506757,0.253472,0.972603,0.945946,1,0.520833,0.493056,0.520833,1.013514,0.972603,1,0.0875,0.516204,0.638889,0.337963,0.479167,1.320574,0.654709,"sSolve"
"Qq2k3k3v20v20m240s2",20,20,40,240,1440,1,1,2,0,0,240,31,24,3,3,20,1.475,1.525,17.95,36,17.7,27.05,36,17.7,653.9,0.501389,0.252778,0.494444,0.493075,0.254167,0.967213,0.99446,1,0.494444,0.491667,0.494444,0.98615,0.967213,1,0.1,0.499074,0.674074,0.338889,0.505556,1.345656,0.679035,"sSolve"
"Qq2k3k3v20v20m240s3",20,20,40,240,1440,1,1,2,0,0,240,33,31,3,3,20,1.483333,1.516667,18.175,36,17.8,27.45,36,17.8,639.6,0.495139,0.257639,0.484722,0.489481,0.252778,0.978022,1.019635,1,0.484722,0.494444,0.484722,0.978962,0.978022,1,0.129167,0.491667,0.687037,0.337037,0.515278,1.351548,0.685499,"sSolve"
"Qq2k3k3v20v20m240s4",20,20,40,240,1440,1,1,2,0,0,240,28,26,3,3,20,1.516667,1.483333,17.475,36,18.2,25.85,36,18.2,659,0.514583,0.232639,0.534722,0.519568,0.247222,1.022472,0.94332,1,0.534722,0.505556,0.534722,1.039136,1.022472,1,0.108333,0.521296,0.62037,0.32963,0.465278,1.295938,0.632327,"sSolve"
"Qq2k3k3v20v20m240s5",20,20,40,240,1440,1,1,2,0,0,240,28,21,3,3,20,1.466667,1.533333,17.575,36,17.6,26.35,36,17.6,641.3,0.511806,0.24375,0.5125,0.500678,0.255556,0.956522,0.953867,1,0.5125,0.488889,0.5125,1.001357,0.956522,1,0.0875,0.512037,0.65,0.340741,0.4875,1.332068,0.665461,"sSolve"
"Qq2k3k3v20v20m240s6",20,20,40,240,1440,1,1,2,0,0,240,29,26,3,3,20,1.516667,1.483333,17.875,36,18.2,26.65,36,18.2,655.7,0.503472,0.24375,0.5125,0.508966,0.247222,1.022472,0.986207,1,0.5125,0.505556,0.5125,1.017931,1.022472,1,0.108333,0.506481,0.65,0.32963,0.4875,1.317073,0.650823,"sSolve"
"Qq2k3k3v20v20m240s7",20,20,40,240,1440,1,1,2,0,0,240,24,34,3,3,20,1.516667,1.483333,18.4,36,18.2,27.7,36,18.2,650.8,0.488889,0.258333,0.483333,0.494318,0.247222,1.022472,1.045455,1,0.483333,0.505556,0.483333,0.988636,1.022472,1,0.141667,0.487037,0.688889,0.32963,0.516667,1.34296,0.676806,"sSolve"
"Qq2k3k3v20v20m240s8",20,20,40,240,1440,1,1,2,0,0,240,27,24,3,3,20,1.516667,1.483333,17.575,36,18.2,26.05,36,18.2,636.9,0.511806,0.235417,0.529167,0.516961,0.247222,1.022472,0.953867,1,0.529167,0.505556,0.529167,1.033921,1.022472,1,0.1,0.517593,0.627778,0.32963,0.470833,1.301344,0.636852,"sSolve"
"Qq2k3k3v20v20m240s9",20,20,40,240,1440,1,1,2,0,0,240,31,30,3,3,20,1.5,1.5,17.875,36,18,26.75,36,18,641.1,0.503472,0.246528,0.506944,0.503448,0.25,1,0.986207,1,0.506944,0.5,0.506944,1.006897,1,1,0.125,0.50463,0.657407,0.333333,0.493056,1.327103,0.66055,"sSolve"
"Qq2k3k3v20v20m280s1",20,20,40,280,1680,1,1,2,0,0,280,30,33,3,3,20,1.496429,1.503571,21.6,42,20.95,32.725,42,20.95,890.6,0.485714,0.264881,0.470238,0.484069,0.250595,0.995249,1.058824,1,0.470238,0.49881,0.470238,0.968137,0.995249,1,0.117857,0.480556,0.706349,0.334127,0.529762,1.359817,0.695293,"sSolve"
"Qq2k3k3v20v20m280s10",20,20,40,280,1680,1,1,2,0,0,280,32,25,3,3,20,1.485714,1.514286,20.425,42,20.8,30.45,42,20.8,874.5,0.51369,0.23869,0.522619,0.508691,0.252381,0.981132,0.946698,1,0.522619,0.495238,0.522619,1.017381,0.981132,1,0.089286,0.516667,0.636508,0.336508,0.477381,1.316913,0.651306,"sSolve"
"Qq2k3k3v20v20m280s2",20,20,40,280,1680,1,1,2,0,0,280,33,32,3,3,20,1.517857,1.482143,21.275,42,21.25,31.925,42,21.25,891.7,0.493452,0.253571,0.492857,0.499397,0.247024,1.024096,1.026538,1,0.492857,0.505952,0.492857,0.998794,1.024096,1,0.114286,0.493254,0.67619,0.329365,0.507143,1.334377,0.667739,"sSolve"
"Qq2k3k3v20v20m280s3",20,20,40,280,1680,1,1,2,0,0,280,36,34,3,3,20,1.467857,1.532143,21.15,42,20.55,32.025,42,20.55,879.8,0.496429,0.258929,0.482143,0.485612,0.255357,0.958042,1.014388,1,0.482143,0.489286,0.482143,0.971223,0.958042,1,0.121429,0.491667,0.690476,0.340476,0.517857,1.358314,0.692494,"sSolve"
"Qq2k3k3v20v20m280s4",20,20,40,280,1680,1,1,2,0,0,280,29,33,3,3,20,1.535714,1.464286,20.8,42,21.5,30.85,42,21.5,900.8,0.504762,0.239286,0.521429,0.516509,0.244048,1.04878,0.981132,1,0.521429,0.511905,0.521429,1.033019,1.04878,1,0.117857,0.510317,0.638095,0.325397,0.478571,1.303079,0.637636,"sSolve"
"Qq2k3k3v20v20m280s5",20,20,40,280,1680,1,1,2,0,0,280,31,25,3,3,20,1.446429,1.553571,20.6,42,20.25,31.075,42,20.25,880,0.509524,0.249405,0.50119,0.491822,0.258929,0.931034,0.962617,1,0.50119,0.482143,0.50119,0.983645,0.931034,1,0.089286,0.506746,0.665079,0.345238,0.49881,1.348351,0.681284,"sSolve"
"Qq2k3k3v20v20m280s6",20,20,40,280,1680,1,1,2,0,0,280,32,36,3,3,20,1.510714,1.489286,21.225,42,21.15,31.875,42,21.15,887.8,0.494643,0.253571,0.492857,0.498195,0.248214,1.014388,1.021661,1,0.492857,0.503571,0.492857,0.99639,1.014388,1,0.128571,0.494048,0.67619,0.330952,0.507143,1.336471,0.66988,"sSolve"
"Qq2k3k3v20v20m280s7",20,20,40,280,1680,1,1,2,0,0,280,28,36,3,3,20,1.496429,1.503571,21.25,42,20.95,32.025,42,20.95,874.8,0.494048,0.256548,0.486905,0.492771,0.250595,0.995249,1.024096,1,0.486905,0.49881,0.486905,0.985542,0.995249,1,0.128571,0.491667,0.684127,0.334127,0.513095,1.345824,0.67958,"sSolve"
"Qq2k3k3v20v20m280s8",20,20,40,280,1680,1,1,2,0,0,280,27,33,3,3,20,1.532143,1.467857,20.925,42,21.45,31.125,42,21.45,876,0.501786,0.242857,0.514286,0.512456,0.244643,1.043796,0.992883,1,0.514286,0.510714,0.514286,1.024911,1.043796,1,0.117857,0.505952,0.647619,0.32619,0.485714,1.310843,0.644706,"sSolve"
"Qq2k3k3v20v20m280s9",20,20,40,280,1680,1,1,2,0,0,280,35,34,3,3,20,1.496429,1.503571,20.9,42,20.95,31.325,42,20.95,877.4,0.502381,0.248214,0.503571,0.501185,0.250595,0.995249,0.990521,1,0.503571,0.49881,0.503571,1.00237,0.995249,1,0.121429,0.502778,0.661905,0.334127,0.496429,1.331205,0.664562,"sSolve"
"Qq2k3k3v20v20m320s1",20,20,40,320,1920,1,1,2,0,0,320,34,38,3,3,20,1.478125,1.521875,24.425,48,23.65,37.025,48,23.65,1155.6,0.491146,0.2625,0.475,0.483563,0.253646,0.971253,1.036055,1,0.475,0.492708,0.475,0.967126,0.971253,1,0.11875,0.485764,0.7,0.338194,0.525,1.361242,0.696212,"sSolve"
"Qq2k3k3v20v20m320s10",20,20,40,320,1920,1,1,2,0,0,320,34,30,3,3,20,1.49375,1.50625,23.8,48,23.9,35.65,48,23.9,1143.7,0.504167,0.246875,0.50625,0.502066,0.251042,0.991701,0.983471,1,0.50625,0.497917,0.50625,1.004132,0.991701,1,0.09375,0.504861,0.658333,0.334722,0.49375,1.329593,0.662999,"sSolve"
"Qq2k3k3v20v20m320s2",20,20,40,320,1920,1,1,2,0,0,320,36,35,3,3,20,1.4875,1.5125,24.2,48,23.8,36.5,48,23.8,1162.2,0.495833,0.25625,0.4875,0.491597,0.252083,0.983471,1.016807,1,0.4875,0.495833,0.4875,0.983193,0.983471,1,0.109375,0.493056,0.683333,0.336111,0.5125,1.347945,0.68169,"sSolve"
"Qq2k3k3v20v20m320s3",20,20,40,320,1920,1,1,2,0,0,320,40,43,3,3,20,1.48125,1.51875,24.425,48,23.7,37,48,23.7,1152.8,0.491146,0.261979,0.476042,0.484624,0.253125,0.975309,1.036055,1,0.476042,0.49375,0.476042,0.969247,0.975309,1,0.134375,0.486111,0.698611,0.3375,0.523958,1.359459,0.694286,"sSolve"
"Qq2k3k3v20v20m320s4",20,20,40,320,1920,1,1,2,0,0,320,38,36,3,3,20,1.50625,1.49375,23.35,48,24.1,34.65,48,24.1,1167.9,0.513542,0.235417,0.529167,0.515213,0.248958,1.008368,0.947262,1,0.529167,0.502083,0.529167,1.030426,1.008368,1,0.1125,0.51875,0.627778,0.331944,0.470833,1.304473,0.639893,"sSolve"
"Qq2k3k3v20v20m320s5",20,20,40,320,1920,1,1,2,0,0,320,37,30,3,3,20,1.478125,1.521875,23.6,48,23.65,35.375,48,23.65,1151.8,0.508333,0.245313,0.509375,0.501025,0.253646,0.971253,0.967213,1,0.509375,0.492708,0.509375,1.002049,0.971253,1,0.09375,0.508681,0.654167,0.338194,0.490625,1.331449,0.664846,"sSolve"
"Qq2k3k3v20v20m320s6",20,20,40,320,1920,1,1,2,0,0,320,37,41,3,3,20,1.515625,1.484375,24.125,48,24.25,36.125,48,24.25,1166.5,0.497396,0.25,0.5,0.502618,0.247396,1.021053,1.010471,1,0.5,0.505208,0.5,1.005236,1.021053,1,0.128125,0.498264,0.666667,0.329861,0.5,1.32872,0.662021,"sSolve"
"Qq2k3k3v20v20m320s7",20,20,40,320,1920,1,1,2,0,0,320,33,41,3,3,20,1.50625,1.49375,24.425,48,24.1,36.8,48,24.1,1148.6,0.491146,0.257813,0.484375,0.493107,0.248958,1.008368,1.036055,1,0.484375,0.502083,0.484375,0.986214,1.008368,1,0.128125,0.488889,0.6875,0.331944,0.515625,1.345109,0.678977,"sSolve"
"Qq2k3k3v20v20m320s8",20,20,40,320,1920,1,1,2,0,0,320,31,42,3,3,20,1.540625,1.459375,24.075,48,24.65,35.825,48,24.65,1138.4,0.498438,0.244792,0.510417,0.512017,0.243229,1.055675,1.00627,1,0.510417,0.513542,0.510417,1.024033,1.055675,1,0.13125,0.502431,0.652778,0.324306,0.489583,1.311933,0.645473,"sSolve"
"Qq2k3k3v20v20m320s9",20,20,40,320,1920,1,1,2,0,0,320,38,36,3,3,20,1.475,1.525,23.8,48,23.6,35.8,48,23.6,1148.5,0.504167,0.25,0.5,0.495868,0.254167,0.967213,0.983471,1,0.5,0.491667,0.5,0.991736,0.967213,1,0.1125,0.502778,0.666667,0.338889,0.5,1.340782,0.674033,"sSolve"
"Qq2k3k3v20v20m360s1",20,20,40,360,2160,1,1,2,0,0,360,37,40,3,3,20,1.463889,1.536111,27.175,54,26.35,41.175,54,26.35,1468.3,0.496759,0.259259,0.481481,0.484623,0.256019,0.952984,1.013048,1,0.481481,0.487963,0.481481,0.969245,0.952984,1,0.111111,0.491667,0.691358,0.341358,0.518519,1.360049,0.694288,"X2clsQ"
"Qq2k3k3v20v20m360s10",20,20,40,360,2160,1,1,2,0,0,360,40,37,3,3,20,1.491667,1.508333,26.925,54,26.85,40.425,54,26.85,1449.4,0.501389,0.25,0.5,0.498615,0.251389,0.98895,0.99446,1,0.5,0.497222,0.5,0.99723,0.98895,1,0.102778,0.500926,0.666667,0.335185,0.5,1.335807,0.669131,"sSolve"
"Qq2k3k3v20v20m360s2",20,20,40,360,2160,1,1,2,0,0,360,42,41,3,3,20,1.513889,1.486111,27.3,54,27.25,40.975,54,27.25,1464.8,0.494444,0.253241,0.493519,0.499064,0.247685,1.018692,1.022472,1,0.493519,0.50463,0.493519,0.998127,1.018692,1,0.113889,0.494136,0.675309,0.330247,0.506481,1.33496,0.668332,"QuBE"
"Qq2k3k3v20v20m360s3",20,20,40,360,2160,1,1,2,0,0,360,45,47,3,3,20,1.486111,1.513889,27.35,54,26.75,41.325,54,26.75,1461.4,0.493519,0.258796,0.482407,0.488743,0.252315,0.981651,1.026266,1,0.482407,0.49537,0.482407,0.977486,0.981651,1,0.130556,0.489815,0.690123,0.33642,0.517593,1.352692,0.68683,"X2clsQ"
"Qq2k3k3v20v20m360s4",20,20,40,360,2160,1,1,2,0,0,360,45,38,3,3,20,1.5,1.5,26.175,54,27,38.85,54,27,1462.1,0.515278,0.234722,0.530556,0.514825,0.25,1,0.940701,1,0.530556,0.5,0.530556,1.02965,1,1,0.105556,0.52037,0.625926,0.333333,0.469444,1.305019,0.640569,"X2clsQ"
"Qq2k3k3v20v20m360s5",20,20,40,360,2160,1,1,2,0,0,360,42,36,3,3,20,1.480556,1.519444,26.7,54,26.65,40.075,54,26.65,1466.9,0.505556,0.247685,0.50463,0.499084,0.253241,0.974406,0.978022,1,0.50463,0.493519,0.50463,0.998168,0.974406,1,0.1,0.505247,0.660494,0.337654,0.49537,1.334997,0.668296,"sSolve"
"Qq2k3k3v20v20m360s6",20,20,40,360,2160,1,1,2,0,0,360,40,48,3,3,20,1.536111,1.463889,27.4,54,27.65,40.975,54,27.65,1470.7,0.492593,0.251389,0.497222,0.504699,0.243981,1.049336,1.030075,1,0.497222,0.512037,0.497222,1.009398,1.049336,1,0.133333,0.494136,0.67037,0.325309,0.502778,1.325198,0.658339,"QuBE"
"Qq2k3k3v20v20m360s7",20,20,40,360,2160,1,1,2,0,0,360,40,45,3,3,20,1.491667,1.508333,27.2,54,26.85,40.975,54,26.85,1452.1,0.496296,0.255093,0.489815,0.49347,0.251389,0.98895,1.014925,1,0.489815,0.497222,0.489815,0.98694,0.98895,1,0.125,0.494136,0.680247,0.335185,0.510185,1.344722,0.678326,"sSolve"
"Qq2k3k3v20v20m360s8",20,20,40,360,2160,1,1,2,0,0,360,35,46,3,3,20,1.530556,1.469444,27.025,54,27.55,40.275,54,27.55,1444.1,0.499537,0.24537,0.509259,0.509731,0.244907,1.041588,1.001854,1,0.509259,0.510185,0.509259,1.019462,1.041588,1,0.127778,0.502778,0.654321,0.326543,0.490741,1.315953,0.649478,"sSolve"
"Qq2k3k3v20v20m360s9",20,20,40,360,2160,1,1,2,0,0,360,41,41,3,3,20,1.502778,1.497222,26.8,54,27.05,40.075,54,27.05,1445.6,0.503704,0.245833,0.508333,0.504596,0.249537,1.003711,0.985294,1,0.508333,0.500926,0.508333,1.009191,1.003711,1,0.113889,0.505247,0.655556,0.332716,0.491667,1.325016,0.658522,"sSolve"
"Qq2k3k3v20v20m400s1",20,20,40,400,2400,1,1,2,0,0,400,42,44,3,3,20,1.4825,1.5175,30.45,60,29.65,46.075,60,29.65,1817,0.4925,0.260417,0.479167,0.486464,0.252917,0.976936,1.030457,1,0.479167,0.494167,0.479167,0.972927,0.976936,1,0.11,0.488056,0.694444,0.337222,0.520833,1.356484,0.69095,"X2clsQ"
"Qq2k3k3v20v20m400s10",20,20,40,400,2400,1,1,2,0,0,400,45,41,3,3,20,1.5,1.5,29.875,60,30,44.75,60,30,1795,0.502083,0.247917,0.504167,0.502075,0.25,1,0.991701,1,0.504167,0.5,0.504167,1.004149,1,1,0.1025,0.502778,0.661111,0.333333,0.495833,1.329609,0.662983,"X2clsQ"
"Qq2k3k3v20v20m400s2",20,20,40,400,2400,1,1,2,0,0,400,48,47,3,3,20,1.505,1.495,30.25,60,30.1,45.45,60,30.1,1802,0.495833,0.253333,0.493333,0.497479,0.249167,1.006689,1.016807,1,0.493333,0.501667,0.493333,0.994958,1.006689,1,0.1175,0.495,0.675556,0.332222,0.506667,1.337734,0.671156,"X2clsQ"
"Qq2k3k3v20v20m400s3",20,20,40,400,2400,1,1,2,0,0,400,49,53,3,3,20,1.4925,1.5075,30.425,60,29.85,45.925,60,29.85,1801,0.492917,0.258333,0.483333,0.490279,0.25125,0.99005,1.02874,1,0.483333,0.4975,0.483333,0.980558,0.99005,1,0.1325,0.489722,0.688889,0.335,0.516667,1.350027,0.684061,"X2clsQ"
"Qq2k3k3v20v20m400s4",20,20,40,400,2400,1,1,2,0,0,400,53,45,3,3,20,1.4975,1.5025,29.125,60,29.95,43.275,60,29.95,1797.9,0.514583,0.235833,0.528333,0.51336,0.250417,0.996672,0.94332,1,0.528333,0.499167,0.528333,1.026721,0.996672,1,0.1125,0.519167,0.628889,0.333889,0.471667,1.307915,0.643125,"X2clsQ"
"Qq2k3k3v20v20m400s5",20,20,40,400,2400,1,1,2,0,0,400,46,40,3,3,20,1.4825,1.5175,29.525,60,29.65,44.225,60,29.65,1815.6,0.507917,0.245,0.51,0.502051,0.252917,0.976936,0.968827,1,0.51,0.494167,0.51,1.004102,0.976936,1,0.1,0.508611,0.653333,0.337222,0.49,1.329565,0.663026,"QuBE"
"Qq2k3k3v20v20m400s6",20,20,40,400,2400,1,1,2,0,0,400,45,54,3,3,20,1.555,1.445,30.55,60,31.1,45.55,60,31.1,1813.7,0.490833,0.25,0.5,0.509338,0.240833,1.076125,1.037351,1,0.5,0.518333,0.5,1.018676,1.076125,1,0.135,0.493889,0.666667,0.321111,0.5,1.317234,0.650169,"QuBE"
"Qq2k3k3v20v20m400s7",20,20,40,400,2400,1,1,2,0,0,400,47,48,3,3,20,1.4825,1.5175,29.95,60,29.65,45.075,60,29.65,1797.8,0.500833,0.252083,0.495833,0.495008,0.252917,0.976936,0.996672,1,0.495833,0.494167,0.495833,0.990017,0.976936,1,0.12,0.499167,0.672222,0.337222,0.504167,1.342207,0.67557,"sSolve"
