"id","Variable.Count","VPOPS.Mean","POPS.Count","PSS.Maximum","PSS.Mean","PSS.Standard.Deviation","VPOPS.Maximum","VPOPS.Standard.Deviation","Pattern.database.lower.bound.In.degree.Maximum","Pattern.database.lower.bound.In.degree.Mean","Pattern.database.lower.bound.In.degree.Standard.Deviation","Pattern.database.lower.bound.Leaf.Count","Pattern.database.lower.bound.NTC.Count","Pattern.database.lower.bound.NTC.Max","Pattern.database.lower.bound.NTC.Mean","Pattern.database.lower.bound.NTC.Standard.Deviation","Pattern.database.lower.bound.Out.degree.Maximum","Pattern.database.lower.bound.Out.degree.Mean","Pattern.database.lower.bound.Out.degree.Standard.Deviation","Pattern.database.lower.bound.Root.Count","Pattern.database.lower.bound.Total.Degree.Maximum","Pattern.database.lower.bound.Total.Degree.Mean","Pattern.database.lower.bound.Total.Degree.Standard.Deviation","Simple.lower.bound.In.degree.Maximum","Simple.lower.bound.In.degree.Mean","Simple.lower.bound.In.degree.Standard.Deviation","Simple.lower.bound.Leaf.Count","Simple.lower.bound.NTC.Count","Simple.lower.bound.NTC.Max","Simple.lower.bound.NTC.Mean","Simple.lower.bound.NTC.Standard.Deviation","Simple.lower.bound.Out.degree.Maximum","Simple.lower.bound.Out.degree.Mean","Simple.lower.bound.Out.degree.Standard.Deviation","Simple.lower.bound.Root.Count","Simple.lower.bound.Total.Degree.Maximum","Simple.lower.bound.Total.Degree.Mean","Simple.lower.bound.Total.Degree.Standard.Deviation","Greedy.hill.climbing.Error.bound","Greedy.hill.climbing.In.degree.Maximum","Greedy.hill.climbing.In.degree.Mean","Greedy.hill.climbing.In.degree.Standard.Deviation","Greedy.hill.climbing.Leaf.Count","Greedy.hill.climbing.Out.degree.Maximum","Greedy.hill.climbing.Out.degree.Mean","Greedy.hill.climbing.Out.degree.Standard.Deviation","Greedy.hill.climbing.Root.Count","Greedy.hill.climbing.Total.Degree.Maximum","Greedy.hill.climbing.Total.Degree.Mean","Greedy.hill.climbing.Total.Degree.Standard.Deviation","Anytime.window.A..Error.bound","Anytime.window.A..In.degree.Maximum","Anytime.window.A..In.degree.Mean","Anytime.window.A..In.degree.Standard.Deviation","Anytime.window.A..Leaf.Count","Anytime.window.A..Out.degree.Maximum","Anytime.window.A..Out.degree.Mean","Anytime.window.A..Out.degree.Standard.Deviation","Anytime.window.A..Root.Count","Anytime.window.A..Total.Degree.Maximum","Anytime.window.A..Total.Degree.Mean","Anytime.window.A..Total.Degree.Standard.Deviation","GOBNILP.Error.bound","GOBNILP.In.degree.Maximum","GOBNILP.In.degree.Mean","GOBNILP.In.degree.Standard.Deviation","GOBNILP.Leaf.Count","GOBNILP.Out.degree.Maximum","GOBNILP.Out.degree.Mean","GOBNILP.Out.degree.Standard.Deviation","GOBNILP.Root.Count","GOBNILP.Total.Degree.Maximum","GOBNILP.Total.Degree.Mean","GOBNILP.Total.Degree.Standard.Deviation","CPBayes.Error.bound","CPBayes.In.degree.Maximum","CPBayes.In.degree.Mean","CPBayes.In.degree.Standard.Deviation","CPBayes.Leaf.Count","CPBayes.Out.degree.Maximum","CPBayes.Out.degree.Mean","CPBayes.Out.degree.Standard.Deviation","CPBayes.Root.Count","CPBayes.Total.Degree.Maximum","CPBayes.Total.Degree.Mean","CPBayes.Total.Degree.Standard.Deviation","basic","basic_extended","lower_bounding","greedy_probing","A._probing","ILP_probing","CP_probing","Class"
"flag_bic-2",29,7.83,227,2,1.15,0.62,27,6.69,2,0.97,0.57,15,3,3,2.33,0.58,5,0.97,1.32,5,6,1.93,1.58,2,1.07,0.59,12,6,5,2.67,1.21,5,1.07,1.28,4,6,2.14,1.64,0.92,2,1,0.65,13,5,1,1.36,6,6,2,1.54,0.64,2,0.9,0.62,15,4,0.9,1.14,7,5,1.79,1.42,0,2,0.93,0.59,15,4,0.93,1.19,6,5,1.86,1.41,0.2,2,0.93,0.59,15,4,0.93,1.16,6,5,1.86,1.41,0,0,0,1,5,0,0,"ilp.141"
"hailfinder_10000_bdeu-0.1-2",56,33.02,1849,2,1.64,0.54,155,35.33,2,1.46,0.6,22,9,4,2.56,0.73,15,1.46,2.32,3,17,2.93,2.49,2,1.7,0.46,15,15,5,2.6,0.99,15,1.7,2.3,0,17,3.39,2.46,12.2,2,1.29,0.71,21,14,1.29,2.08,8,16,2.57,2.26,16.23,2,1.32,0.86,17,12,1.32,1.8,14,14,2.64,2.04,0.42,2,1.25,0.72,21,9,1.25,1.79,9,11,2.5,1.89,0.2,2,1.25,0.72,24,15,1.25,2.2,9,16,2.5,2.2,0,0,0,5,5,5,6,"ilp.141"
"hailfinder_10000_bdeu-0.1-3",56,51.93,2908,3,2.13,0.78,364,84.4,3,1.62,0.82,20,9,4,2.78,0.83,14,1.62,2.31,3,17,3.25,2.69,3,2,0.79,13,11,11,3.82,2.68,15,2,2.31,0,18,4,2.79,12.29,3,1.2,0.94,19,15,1.2,2.11,15,16,2.39,2.4,14.88,3,1.39,1.02,15,12,1.39,1.81,15,14,2.79,2.21,0.47,3,1.21,0.8,23,7,1.21,1.65,11,10,2.43,1.87,0.2,3,1.3,0.78,24,10,1.3,1.85,8,13,2.61,2.07,0,0,0,5,5,5,6,"ilp.141"
"hailfinder_10000_bdeu-0.1-4",56,58.62,3283,4,2.35,0.95,477,107.43,4,1.66,0.9,20,9,5,2.89,1.05,14,1.66,2.33,3,18,3.32,2.84,4,2.11,0.97,13,11,11,3.91,2.7,15,2.11,2.42,0,19,4.21,3.07,12.28,3,1.23,0.93,20,15,1.23,2.13,14,16,2.46,2.42,14.28,4,1.39,1.14,14,7,1.39,1.45,16,10,2.79,2.02,0.38,4,1.38,0.86,23,9,1.38,1.97,8,11,2.75,2.15,0.2,4,1.32,0.86,23,15,1.32,2.28,9,16,2.64,2.28,0,0,0,5,5,5,6,"ilp.162"
"hailfinder_10000_bdeu-1-2",56,40.36,2260,2,1.68,0.52,175,39.33,2,1.52,0.6,22,8,7,3,1.69,14,1.52,2.26,3,16,3.04,2.46,2,1.7,0.46,16,15,5,2.6,0.99,16,1.7,2.42,0,18,3.39,2.57,12.33,2,1.32,0.69,24,13,1.32,2.07,7,15,2.64,2.22,16.51,2,1.36,0.86,17,13,1.36,1.95,14,15,2.71,2.16,0.4,2,1.29,0.68,24,14,1.29,2.22,7,15,2.57,2.23,0.3,2,1.3,0.69,23,14,1.3,2.11,7,16,2.61,2.21,0,0,0,5,6,5,6,"ilp.141.nc"
"hailfinder_10000_bdeu-1-3",56,67.29,3768,3,2.21,0.76,435,104.59,3,1.73,0.86,20,8,7,3.38,1.77,15,1.73,2.44,3,18,3.46,2.87,3,2.05,0.82,13,11,11,3.82,2.68,16,2.05,2.42,0,19,4.11,2.9,12.55,3,1.25,0.96,20,15,1.25,2.16,15,17,2.5,2.48,15.11,3,1.45,1.04,15,13,1.45,1.92,15,15,2.89,2.31,0.67,3,1.39,0.87,23,12,1.39,2.1,9,15,2.79,2.27,0.3,3,1.36,0.77,23,15,1.36,2.27,7,16,2.71,2.28,0,0,0,5,5,5,6,"ilp.141.nc"
"hailfinder_10000_bdeu-1-4",56,77.32,4330,4,2.44,0.93,595,137.95,4,1.77,0.93,20,8,7,3.38,1.77,16,1.77,2.56,3,20,3.54,3.1,4,2.2,1.03,13,11,11,3.91,2.7,16,2.2,2.54,0,20,4.39,3.26,12.54,4,1.34,0.98,22,15,1.34,2.25,12,17,2.68,2.55,14.05,4,1.46,1.11,15,11,1.46,1.77,14,13,2.93,2.27,1.01,4,1.43,0.85,21,14,1.43,2.2,6,16,2.86,2.35,0.3,4,1.39,0.8,24,13,1.39,2.13,6,13,2.79,2.14,0,0,0,5,6,5,6,"ilp.141.nc"
"hailfinder_10000_bdeu-10-2",56,54.27,3039,2,1.74,0.48,215,49.5,2,1.61,0.49,21,8,7,3,1.69,16,1.61,2.5,0,18,3.21,2.68,2,1.7,0.46,15,15,5,2.6,0.99,17,1.7,2.51,0,19,3.39,2.66,12.38,2,1.29,0.78,21,15,1.29,2.21,11,17,2.57,2.52,16.61,2,1.5,0.76,20,12,1.5,2.06,9,14,3,2.24,0.62,2,1.32,0.69,24,11,1.32,1.99,7,13,2.64,2.14,0.3,2,1.37,0.68,24,15,1.38,2.29,6,17,2.75,2.35,0,0,0,5,5,5,6,"ilp.141.nc"
"hailfinder_10000_bdeu-10-3",56,98.59,5521,3,2.31,0.72,569,145.21,3,2.02,0.82,19,7,7,4,2,16,2.02,2.82,0,19,4.04,3.31,3,2.25,0.81,13,9,11,4.67,2.55,17,2.25,2.66,0,20,4.5,3.2,12.68,3,1.32,0.97,20,16,1.32,2.34,12,17,2.64,2.54,15.25,3,1.64,1.14,12,13,1.64,2.03,12,15,3.29,2.45,1.41,3,1.54,0.95,21,14,1.54,2.37,8,17,3.07,2.65,0.3,3,1.48,0.93,22,17,1.48,2.55,8,18,2.96,2.58,0,0,0,5,5,5,6,"ilp.141"
"hailfinder_10000_bdeu-10-4",56,117.27,6567,4,2.58,0.91,836,201.88,4,2.07,0.91,19,7,7,4,2,16,2.07,2.91,0,20,4.14,3.49,4,2.45,1.06,13,9,11,4.78,2.54,17,2.45,2.82,0,21,4.89,3.59,12.69,4,1.34,1.01,20,16,1.34,2.36,12,17,2.68,2.58,14.15,4,1.66,1.25,12,11,1.66,1.87,12,14,3.32,2.49,0.81,4,1.61,0.89,22,12,1.61,2.19,3,16,3.21,2.56,0.3,4,1.55,1.03,22,13,1.55,2.25,7,14,3.11,2.45,0,0,0,5,5,5,6,"ilp.141"
"hailfinder_10000_bdeu-100-2",56,80.23,4493,2,1.8,0.43,296,69.19,2,1.95,0.23,17,8,7,3.25,1.83,14,1.95,2.52,0,16,3.89,2.55,2,1.98,0.13,15,12,8,3.25,1.82,17,1.98,2.71,0,19,3.96,2.73,12.19,2,1.71,0.62,19,16,1.71,2.65,5,18,3.43,2.67,16.25,2,1.55,0.81,16,9,1.55,1.77,11,11,3.11,1.91,0.83,2,1.71,0.49,23,11,1.71,2.42,1,13,3.43,2.39,1.2,2,1.7,0.66,20,10,1.7,2.38,6,12,3.39,2.3,0,0,0,5,6,5,6,"ilp.141.nc"
"hailfinder_1000_bdeu-0.1-2",56,9.32,522,2,1.26,0.64,44,10.39,2,1.27,0.62,25,9,3,2.33,0.5,9,1.27,1.84,5,10,2.54,2,2,1.39,0.53,22,12,5,2.67,0.98,9,1.39,1.87,1,11,2.79,2.14,10.9,2,1.07,0.76,26,8,1.07,1.65,14,9,2.14,1.75,12.63,2,0.91,0.79,25,8,0.91,1.37,20,9,1.82,1.51,0.03,2,1.04,0.76,21,9,1.04,1.41,15,10,2.07,1.63,0,2,1.04,0.74,28,9,1.04,1.62,14,10,2.07,1.64,0,0,0,3,6,5,6,"ilp.162"
"hailfinder_1000_bdeu-0.1-3",56,10.36,580,3,1.43,0.8,57,13.21,3,1.3,0.69,25,9,4,2.44,0.73,10,1.3,2,5,11,2.61,2.22,3,1.54,0.76,21,11,9,3.09,2.07,10,1.54,2.03,1,13,3.07,2.56,10.78,3,1.12,0.85,25,9,1.12,1.72,14,10,2.25,1.9,12.58,3,0.98,0.86,25,8,0.98,1.42,18,9,1.96,1.64,0.12,3,1.11,0.87,21,8,1.11,1.55,15,10,2.21,1.88,0,3,1.07,0.81,26,9,1.07,1.69,14,11,2.14,1.81,0,0,0,3,7,5,6,"ilp.162"
"hailfinder_1000_bdeu-0.1-4",56,10.43,584,4,1.45,0.82,58,13.45,4,1.34,0.79,25,9,5,2.56,1.01,10,1.34,1.99,5,11,2.68,2.31,4,1.61,0.93,21,11,9,3.18,2.14,10,1.61,2.15,1,14,3.21,2.85,10.65,4,1.14,0.86,24,9,1.14,1.82,13,10,2.29,2.09,12.58,4,1,0.91,26,9,1,1.5,18,10,2,1.69,0,4,1.12,0.85,21,9,1.12,1.61,13,11,2.25,1.93,0,4,1.09,0.86,26,9,1.09,1.75,14,11,2.18,1.87,0,0,0,2,6,2,6,"ilp.141"
"hailfinder_1000_bdeu-1-2",56,11.98,671,2,1.36,0.63,58,13.42,2,1.34,0.61,25,9,3,2.33,0.5,10,1.34,1.9,4,12,2.68,2.14,2,1.52,0.54,21,11,4,2.91,0.94,11,1.52,1.98,1,13,3.04,2.27,11.46,2,1.16,0.68,29,11,1.16,1.98,9,12,2.32,2.04,13.19,2,1.04,0.74,23,10,1.04,1.63,14,11,2.07,1.75,0,2,1.13,0.69,26,10,1.12,1.77,10,12,2.25,1.96,0.1,2,1.11,0.71,29,11,1.11,1.88,11,12,2.21,1.93,0,0,0,3,5,0,6,"ilp.141"
"hailfinder_1000_bdeu-1-3",56,13.59,761,3,1.55,0.79,77,17.71,3,1.39,0.71,25,9,4,2.44,0.73,11,1.39,2.04,4,14,2.79,2.4,3,1.71,0.8,20,10,9,3.5,2.12,12,1.71,2.19,1,15,3.43,2.75,11.31,3,1.18,0.79,28,13,1.18,2.08,10,13,2.36,2.09,13.96,3,1.18,0.88,21,13,1.18,1.96,13,14,2.36,2.11,0.09,3,1.11,0.8,28,9,1.11,1.85,13,12,2.21,1.99,0.1,3,1.12,0.79,28,9,1.12,1.86,12,12,2.25,2.02,0,0,0,4,5,5,6,"ilp.162"
"hailfinder_1000_bdeu-1-4",56,13.7,767,4,1.57,0.82,78,18.02,4,1.43,0.81,25,9,5,2.56,1.01,11,1.43,2.08,4,15,2.86,2.57,4,1.8,0.98,20,10,9,3.6,2.17,12,1.8,2.28,1,16,3.61,3.07,11.35,4,1.21,0.85,28,10,1.21,2,10,12,2.43,2.18,13.96,4,1.18,0.94,22,14,1.18,2.08,14,15,2.36,2.23,0.1,4,1.13,0.83,27,7,1.12,1.76,12,11,2.25,2.05,0.1,4,1.14,0.84,29,8,1.14,1.88,12,11,2.29,2.04,0,0,0,3,6,5,6,"ilp.162"
"hailfinder_1000_bdeu-10-2",56,19.3,1081,2,1.53,0.59,98,24.29,2,1.39,0.65,25,9,3,2.33,0.5,13,1.39,2.17,5,15,2.79,2.4,2,1.55,0.54,22,11,5,3,1.1,14,1.55,2.25,1,16,3.11,2.5,11.58,2,1.2,0.7,27,14,1.2,2.14,9,15,2.39,2.22,15.46,2,1.21,0.8,19,11,1.21,1.74,13,13,2.43,1.93,0.14,2,1.14,0.7,26,11,1.14,1.81,10,13,2.29,1.93,0.2,2,1.18,0.72,28,13,1.18,2.08,10,14,2.36,2.05,0,0,0,3,5,5,6,"ilp.162"
"hailfinder_1000_bdeu-10-3",56,23.05,1291,3,1.77,0.77,140,33.96,3,1.59,0.85,23,9,4,2.56,0.73,13,1.59,2.29,5,16,3.18,2.78,3,1.96,0.87,19,8,11,4.5,2.78,14,1.96,2.46,1,17,3.93,3.12,11.78,3,1.25,0.77,26,14,1.25,2.23,8,15,2.5,2.33,14.66,3,1.32,0.97,18,11,1.32,1.84,14,13,2.64,2.1,0.05,3,1.25,0.86,24,10,1.25,1.88,11,10,2.5,2.05,0.2,3,1.27,0.84,26,13,1.27,2.25,10,14,2.54,2.26,0,0,0,4,5,5,6,"ilp.162"
"hailfinder_1000_bdeu-10-4",56,23.27,1303,4,1.79,0.79,141,34.59,4,1.66,0.98,23,9,5,2.67,1,14,1.66,2.46,5,18,3.32,3.05,4,2.09,1.05,19,8,11,4.62,2.77,14,2.09,2.6,1,18,4.18,3.45,11.71,4,1.25,0.86,23,11,1.25,1.87,10,14,2.5,2.24,14.66,4,1.37,1,16,13,1.38,2.01,13,15,2.75,2.27,0.14,4,1.29,0.99,25,9,1.29,1.95,12,12,2.57,2.19,0.2,4,1.32,0.96,27,13,1.32,2.32,10,14,2.64,2.32,0,0,0,4,5,3,6,"ilp.162"
"hailfinder_1000_bdeu-100-2",56,43,2408,2,1.71,0.5,237,44.33,2,1.91,0.29,17,8,5,3.12,1.36,14,1.91,2.44,0,16,3.82,2.5,2,1.96,0.19,15,14,5,2.79,1.05,14,1.96,2.42,0,16,3.93,2.46,10.53,2,1.71,0.59,20,13,1.71,2.37,4,14,3.43,2.26,13.72,2,1.66,0.69,14,12,1.66,2.11,7,14,3.32,2.09,0.64,2,1.66,0.61,19,10,1.66,2.07,4,11,3.32,2.05,1.5,2,1.79,0.53,20,10,1.79,2.36,3,12,3.57,2.35,0,0,0,4,5,5,6,"ilp.162"
"hailfinder_1000_bdeu-100-3",56,74.54,4174,3,2.25,0.74,486,101.68,3,2.39,0.65,18,3,18,10.67,8.08,17,2.39,3.2,0,20,4.79,3.51,3,2.54,0.57,14,11,11,3.73,2.72,18,2.54,3.12,0,21,5.07,3.44,11.74,3,1.98,0.9,19,14,1.98,2.84,4,15,3.96,2.93,14.43,3,1.96,1.09,14,11,1.96,2.28,10,14,3.93,2.63,0.56,3,2,0.87,24,12,2,2.96,5,14,4,3.03,0.9,3,2.05,0.84,24,13,2.05,3.05,3,13,4.11,2.98,0,0,0,5,6,5,6,"ilp.162"
"hailfinder_1000_bdeu-100-4",56,82.66,4629,4,2.43,0.88,521,115.4,4,2.66,0.92,18,3,18,11,8.19,17,2.66,3.78,0,21,5.32,4.34,4,2.82,0.9,14,11,11,3.82,2.75,18,2.82,3.56,0,22,5.64,4.22,11.91,4,2.11,1.06,18,15,2.11,3.03,4,17,4.21,3.3,14.46,4,2.11,1.22,11,12,2.11,2.33,9,15,4.21,2.82,1.58,4,2.09,1.1,23,15,2.09,3.21,6,15,4.18,3.35,1.1,4,2.18,1.03,24,11,2.18,3.25,4,14,4.36,3.39,0,0,0,5,6,5,6,"ilp.162"
"hailfinder_1000_bic-4",56,10.82,606,2,1.26,0.61,40,9.16,2,1.21,0.56,26,9,3,2.22,0.44,14,1.21,2.16,4,15,2.43,2.3,2,1.32,0.51,23,11,5,2.91,1.14,14,1.32,2.12,1,15,2.64,2.29,10.08,2,1.05,0.59,30,12,1.05,1.91,8,13,2.11,1.93,13.63,2,0.96,0.69,25,8,0.96,1.43,14,9,1.93,1.51,0,2,1.04,0.57,28,7,1.04,1.48,8,8,2.07,1.56,0.1,2,1.02,0.59,32,13,1.02,2.01,9,14,2.04,1.99,0,0,0,3,5,0,6,"ilp.141"
"hailfinder_100_bdeu-0.1-2",56,3.07,172,2,0.94,0.77,12,3.06,2,0.62,0.73,35,5,4,2.6,0.89,4,0.62,0.96,29,6,1.25,1.49,2,0.79,0.76,28,11,4,2.27,0.65,3,0.79,0.99,23,5,1.57,1.66,7.31,2,0.48,0.66,39,4,0.48,0.87,34,4,0.96,1.08,7.3,2,0.48,0.66,38,3,0.48,0.81,34,4,0.96,1.04,0,2,0.48,0.66,35,3,0.48,0.74,34,4,0.96,1.04,0,2,0.48,0.66,37,4,0.48,0.83,34,4,0.96,1.04,0,0,0,1,5,0,0,"ilp.141"
"hailfinder_100_bdeu-0.1-3",56,3.48,195,3,1.18,0.98,16,4.13,3,0.66,0.82,35,5,4,2.6,0.89,4,0.66,1.07,29,6,1.32,1.64,3,0.89,0.97,27,11,4,2.45,0.82,4,0.89,1.14,23,7,1.79,2.05,7.3,3,0.5,0.71,36,3,0.5,0.81,34,4,1,1.13,7.29,3,0.55,0.78,33,3,0.55,0.81,33,6,1.11,1.26,0,3,0.55,0.78,33,3,0.55,0.81,33,6,1.11,1.26,0,3,0.5,0.71,39,3,0.5,0.87,34,4,1,1.13,0,0,0,1,6,0,0,"ilp.141"
"hailfinder_100_bdeu-0.1-4",56,119.11,6670,4,3.92,0.5,1690,325.95,4,3,1.39,16,5,17,5.8,6.38,20,3,4.03,1,24,6,4.52,4,3.11,1.33,12,7,19,5.43,6.08,18,3.11,3.9,1,22,6.21,4.35,14.51,4,0.52,0.79,35,3,0.52,0.81,34,4,1.04,1.21,12.11,4,1.61,1.7,19,13,1.61,2.23,22,13,3.21,2.73,2.77,4,2.07,1.74,20,15,2.07,2.87,15,15,4.14,2.79,1.5,4,2.79,1.59,20,20,2.79,4.25,7,20,5.57,4.12,0,0,0,2,5,5,6,"ilp.162"
"hailfinder_100_bdeu-1-2",56,3.82,214,2,1.02,0.74,15,3.63,2,0.8,0.75,31,7,3,2.29,0.49,4,0.8,1.12,22,6,1.61,1.61,2,0.95,0.77,24,12,4,2.33,0.65,4,0.95,1.09,18,6,1.89,1.73,7.83,2,0.62,0.7,33,3,0.63,0.91,28,5,1.25,1.22,7.82,2,0.62,0.7,32,4,0.63,0.91,28,5,1.25,1.22,0,2,0.62,0.7,31,5,0.62,0.93,28,5,1.25,1.19,0,2,0.62,0.7,32,5,0.63,0.95,28,5,1.25,1.19,0,0,0,2,6,0,0,"ilp.141"
"hailfinder_100_bdeu-1-3",56,4.36,244,3,1.26,0.95,22,5.06,3,0.84,0.83,31,7,4,2.43,0.79,5,0.84,1.2,22,7,1.68,1.76,3,1.05,0.96,23,12,4,2.5,0.8,5,1.05,1.23,18,8,2.11,2.1,7.83,3,0.66,0.79,34,4,0.66,1.01,28,6,1.32,1.38,7.79,3,0.66,0.79,30,4,0.66,0.9,28,5,1.32,1.31,0,3,0.66,0.79,29,4,0.66,0.88,28,5,1.32,1.31,0,3,0.66,0.79,30,4,0.66,0.9,28,5,1.32,1.31,0,0,0,2,5,0,0,"ilp.141"
"hailfinder_100_bdeu-1-4",56,73.32,4106,4,3.84,0.69,728,159.38,4,2.5,1.49,15,6,10,4,3.16,15,2.5,3.06,4,19,5,3.62,4,2.39,1.47,11,13,7,2.85,1.57,12,2.39,2.48,4,16,4.79,3.11,11.5,4,0.68,0.86,29,4,0.68,0.94,28,6,1.36,1.39,9.38,4,1.84,1.67,18,11,1.84,2.26,16,12,3.68,2.89,2.51,4,1.55,1.58,22,7,1.55,1.84,19,10,3.11,2.05,1.1,4,2.23,1.63,18,9,2.23,2.61,9,13,4.46,3.01,0,0,0,2,6,5,6,"ilp.162"
"hailfinder_100_bdeu-10-2",56,8.98,503,2,1.24,0.64,35,7.54,2,1.29,0.53,25,10,3,2.3,0.48,7,1.29,1.57,2,9,2.57,1.8,2,1.39,0.56,19,13,4,2.69,0.85,7,1.39,1.51,2,9,2.79,1.87,7.67,2,1.21,0.59,25,5,1.21,1.45,5,7,2.43,1.62,8.64,2,1.11,0.65,22,6,1.11,1.32,9,8,2.21,1.51,0,2,1.21,0.59,23,6,1.21,1.45,5,8,2.43,1.66,0.1,2,1.16,0.6,25,5,1.16,1.4,6,7,2.32,1.54,0,0,0,3,5,1,6,"ilp.162"
"hailfinder_100_bdeu-10-3",56,10,560,3,1.42,0.8,43,9.34,3,1.52,0.81,23,10,5,2.7,0.95,7,1.52,1.78,2,10,3.04,2.25,3,1.73,0.9,18,12,4,3.08,0.9,8,1.73,1.89,2,11,3.46,2.64,7.87,3,1.29,0.76,24,6,1.29,1.56,5,8,2.57,1.85,8.63,3,1.25,0.88,19,7,1.25,1.43,9,9,2.5,1.77,0,3,1.39,0.87,21,8,1.39,1.67,6,10,2.79,2.08,0.1,3,1.34,0.88,23,8,1.34,1.69,7,10,2.68,2.01,0,0,0,2,6,1,6,"ilp.162"
"hailfinder_100_bdeu-10-4",56,43.21,2420,4,3.4,1.16,281,59.11,4,2.27,1.29,7,4,30,10,13.39,12,2.27,2.01,1,16,4.54,2.55,4,2.34,1.25,9,11,5,3.18,0.98,10,2.34,2.05,1,14,4.68,2.75,8.93,4,1.29,0.82,22,7,1.29,1.56,6,8,2.57,1.86,9.2,4,2.09,1.49,12,9,2.09,2.06,8,11,4.18,2.3,1.53,4,1.5,1.18,18,7,1.5,1.58,9,10,3,1.83,1.2,4,2.05,1.41,15,8,2.05,2.01,4,11,4.11,2.22,0,0,0,2,5,5,6,"ilp.162"
"hailfinder_100_bdeu-100-2",56,137.55,7703,2,1.85,0.38,366,55.79,2,2,0,13,9,5,3.11,1.27,12,2,2.27,0,14,4,2.27,2,2,0,10,14,5,2.93,1,13,2,2.18,0,15,4,2.18,5.76,2,1.87,0.38,9,12,1.88,2.07,1,13,3.75,1.98,6.03,2,1.89,0.41,14,8,1.89,1.87,2,8,3.79,1.7,0.77,2,1.91,0.39,19,11,1.91,2.32,2,13,3.82,2.27,0.6,2,1.93,0.32,18,13,1.93,2.46,1,15,3.86,2.33,0,0,0,5,5,5,6,"ilp.141"
"hailfinder_100_bic",56,2.98,167,2,0.69,0.52,8,1.93,2,0.7,0.57,33,6,2,2,0,4,0.7,1.04,20,5,1.39,1.3,2,0.77,0.54,28,12,2,2,0,4,0.77,0.97,16,5,1.54,1.28,4,2,0.61,0.59,33,4,0.61,0.91,25,5,1.21,1.14,4.03,2,0.57,0.57,34,3,0.57,0.85,26,4,1.14,1.03,0,2,0.61,0.59,35,4,0.61,1,25,5,1.21,1.14,0,2,0.61,0.59,36,4,0.61,1.02,25,5,1.21,1.14,0,0,0,1,5,0,0,"ilp.141"
"hepatitis_bdeu-10",20,67.65,1353,5,2.1,0.8,169,44.02,5,2.8,0.95,2,1,18,18,0,5,2.8,1.77,0,10,5.6,2.14,5,2.95,0.89,2,1,18,18,0,6,2.95,1.7,0,10,5.9,2.13,3.86,5,2.5,1.1,5,7,2.5,2.09,1,10,5,2.27,0,5,2.5,1.19,3,6,2.5,1.76,1,9,5,1.78,0.39,4,2.35,1.14,4,6,2.35,2.08,2,10,4.7,2.08,0.2,5,2.45,1.1,4,6,2.45,2.01,1,8,4.9,1.8,0,0,0,1,0,5,0,"astar.ec"
"hepatitis_bdeu-10-2",20,48.25,965,2,1.69,0.51,99,24.42,2,2,0,7,3,5,3,1.73,5,2,1.86,0,7,4,1.86,2,2,0,4,4,6,4,1.63,5,2,1.59,0,7,4,1.59,3.08,2,1.85,0.49,7,6,1.85,1.84,1,8,3.7,1.75,0,2,1.85,0.49,7,5,1.85,1.66,1,7,3.7,1.59,0,2,1.85,0.49,7,5,1.85,1.79,1,7,3.7,1.59,0.1,2,1.85,0.49,8,7,1.85,1.98,1,7,3.7,1.72,0,0,0,1,0,3,0,"astar.ec"
"hepatitis_bdeu-10-3",20,65.3,1306,3,2.03,0.72,159,40.84,3,2.6,0.5,4,1,15,15,0,5,2.6,1.9,0,8,5.2,2.09,3,2.65,0.49,2,1,17,17,0,6,2.65,1.79,0,9,5.3,1.95,3.41,3,2.25,0.85,3,7,2.25,1.89,1,7,4.5,1.79,0,3,2.25,0.85,3,5,2.25,1.62,1,8,4.5,1.67,0.26,3,2.2,0.77,4,5,2.2,1.7,1,7,4.4,1.64,0.1,3,2.25,0.79,6,5,2.25,1.94,1,8,4.5,1.85,0,0,0,1,0,5,0,"astar.ec"
"hepatitis_bdeu-10-4",20,67.5,1350,4,2.1,0.79,168,43.72,4,2.7,0.8,3,1,17,17,0,5,2.7,1.78,0,9,5.4,2.01,4,2.85,0.75,2,1,18,18,0,6,2.85,1.73,0,10,5.7,2.13,3.6,4,2.35,0.99,4,7,2.35,2.06,1,9,4.7,1.98,0,4,2.4,1.05,3,5,2.4,1.67,1,9,4.8,1.74,0.47,4,2.35,1.04,5,6,2.35,1.93,1,9,4.7,1.89,0.1,4,2.4,0.99,5,6,2.4,2.06,1,9,4.8,1.85,0,0,0,1,0,5,0,"astar.ec"
"hepatitis_bdeu-100",20,2226,44520,7,3.76,0.88,5052,1379.35,6,5,0.56,1,1,19,19,0,14,5,3.87,0,19,10,3.74,6,5.15,0.49,1,1,19,19,0,15,5.15,3.95,0,20,10.3,4.05,7.74,6,4.2,1.58,3,10,4.2,3.27,1,14,8.4,2.78,0,6,4.05,1.5,2,12,4.05,3.32,1,14,8.1,2.61,7.79,6,4,1.52,4,13,4,4.22,1,16,8,3.45,-1,6,5.15,0.49,1,15,5.15,3.95,0,20,10.3,4.05,0,0,0,2,0,5,3,"astar.ec"
