"id","f_1","f_2","f_3","f_8","f_9","f_10","f_11","f_12","f_13","f_14","f_15","f_16","f_17","f_18","f_19","f_20","f_21","f_22","f_23","f_24","f_25","f_29","f_30","f_31","f_32","f_34","f_35","f_36","f_37","CCEHC2akms","CCLS2akms","Naps.1.02.ms","WMaxSatz.","WMaxSatz09","ahms.1.70","ahms.ls.1.70","CCEHC2akms_success","CCLS2akms_success","Naps.1.02.ms_success","WMaxSatz._success","WMaxSatz09_success","ahms.1.70_success","ahms.ls.1.70_success","base","Class"
"SU3__simp-genos.haps.53.wcnf",6391,98488,0.00183,0.06489,0.00039,0.96957,1e-05,0.0017,0.00169,0.00039,0.28836,0.00016,0.0072,0.00704,0.50277,0.56892,0,1,1,0.71622,0.33042,0.00271,0.51796,0.9983,0.00012,0,0.00083,0.00083,0.33347,1800,1800,605.03,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.1,"mscg2015b"
"SU3__simp-genos.haps.58.wcnf",6135,103786,0.00173,0.05911,4e-04,0.84411,1e-05,0.00146,0.00145,4e-04,0.33178,0.00016,0.00896,0.0088,0.50204,0.64249,0,1,1,0.71896,0.31196,0.00252,0.53299,0.99828,0.00011,0,0.00078,0.00078,0.30779,1800,1800,53.7,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.11,"mscg2015a"
"SU3__simp-genos.haps.60.wcnf",6425,109131,0.00165,0.05887,0.00039,0.88462,1e-05,0.00139,0.00138,0.00039,0.28725,0.00016,0.00763,0.00747,0.51051,0.56654,0,1,1,0.72191,0.325,0.00243,0.49318,0.9984,0.00011,0,0.00072,0.00072,0.30661,1800,1800,11.9,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.11,"mscg2015b"
"SU3__simp-genos.haps.63.wcnf",8334,209643,0.00083,0.03975,0.00031,0.77101,0,0.00086,0.00085,0.00031,0.33045,0.00012,0.0084,0.00828,0.50088,0.68438,0,1,1,0.71117,0.30696,0.0011,0.43637,0.99906,8e-05,0,0.00044,0.00044,0.27784,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.22,"maxino16.c10"
"SU3__simp-genos.haps.64.wcnf",6420,116343,0.00155,0.05518,0.00039,0.85544,1e-05,0.00129,0.00128,0.00039,0.31387,0.00016,0.00763,0.00748,0.49887,0.631,0,1,1,0.71197,0.33674,0.00222,0.50387,0.99847,0.00013,0,0.00071,0.00071,0.34515,1800,1800,112.13,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.13,"mscg2015b"
"SU3__simp-genos.haps.72.wcnf",6988,129090,0.00139,0.05413,0.00036,0.80669,1e-05,0.00119,0.00119,0.00036,0.29159,0.00014,0.00487,0.00472,0.50451,0.59093,0,1,1,0.71697,0.3258,0.00196,0.48613,0.99856,0.00011,0,0.00064,0.00064,0.31368,1800,1800,126.83,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.14,"mscg2015b"
"SU3__simp-genos.haps.74.wcnf",5985,89899,0.00196,0.06657,0.00042,0.96005,1e-05,0.00185,0.00184,0.00042,0.27569,0.00017,0.00702,0.00685,0.50646,0.55006,0,1,1,0.71948,0.32528,0.00291,0.50318,0.99823,0.00012,0,0.00101,0.00101,0.31397,1800,1800,3.53,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.09,"Optiriss6"
"SU3__simp-genos.haps.80.wcnf",8107,196214,0.00092,0.04132,0.00032,0.85168,1e-05,0.00107,0.00106,0.00032,0.30128,0.00012,0.00876,0.00863,0.51174,0.59708,0,0.99492,0.99492,0.72349,0.31212,0.0013,0.45313,0.99904,8e-05,0,0.00055,0.00055,0.27102,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.2,"maxino16.c10"
"SU3__simp-genos.haps.86.wcnf",6181,93782,0.00192,0.06591,0.00041,0.88473,1e-05,0.0016,0.00159,0.00041,0.27466,0.00016,0.00469,0.00453,0.50503,0.55646,0,1,1,0.71627,0.33878,0.0028,0.49548,0.99818,0.00013,0,0.00086,0.00086,0.33625,1800,1800,6.72,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.1,"Optiriss6"
"SU3__simp-genos.haps.88.wcnf",7831,175891,0.00101,0.04452,0.00033,0.92173,1e-05,0.00115,0.00115,0.00033,0.28729,0.00013,0.0069,0.00677,0.50269,0.58236,0,1,1,0.70692,0.32136,0.00147,0.43169,0.99903,9e-05,0,0.00061,0.00061,0.30278,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.19,"Open.WBO15"
"SU3__simp-genos.haps.9.wcnf",6693,109568,0.00164,0.06109,0.00038,0.88858,1e-05,0.00145,0.00144,0.00038,0.28003,0.00015,0.00508,0.00493,0.50459,0.56429,0,1,1,0.71542,0.33103,0.00241,0.48454,0.99841,0.00011,0,0.00075,0.00075,0.32235,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.11,"WPM3.2015.co"
"SouthAfricaWoodlands2009.xml.wcnf",160572,528321,0.00179,0.30393,1e-05,0,0,8e-05,8e-05,1e-05,0.3978,1e-05,6e-05,5e-05,0.40126,0.42766,0.03125,0.97674,0.94549,0.37245,0.71039,0.00639,0.77373,0.93011,1e-05,0,6e-05,6e-05,0.83812,1800,1800,329.52,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.58,"mscg2015a"
"TEAMS20_l7aa.cnf.wcnf",5471,138116,0.03425,0.03961,4e-04,0.29239,1e-05,0.00066,0.00064,4e-04,0.53871,0.00018,0.00347,0.00329,0.11597,1.33468,0,0.51852,0.51852,0.06857,3.08476,0.03557,0.83327,0.9956,0.00034,1e-05,0.00042,0.00041,0.91759,1800,1800,88.24,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.14,"maxino16.dis"
"TWComp_1c75_N69.wcnf",91700,768235,9e-05,0.11936,4e-05,3.4117,0,7e-04,7e-04,4e-05,0.28021,1e-05,0.00076,0.00075,0.4289,0.24495,0.02778,0.75,0.72222,0.43468,0.36027,9e-05,0.12645,0.59071,2e-05,0,0.00035,0.00035,0.58982,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.94,"maxino16.c10"
"TWComp_1dj7_N73.wcnf",105922,907399,8e-05,0.11673,3e-05,3.48376,0,0.00063,0.00062,3e-05,0.27797,1e-05,7e-04,0.00069,0.42848,0.2437,0.02632,0.75,0.72368,0.43486,0.35912,8e-05,0.12342,0.58866,2e-05,0,0.00032,0.00031,0.58784,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.12,"maxino16.c10"
"TWComp_1dp_N76.wcnf",118369,1023459,7e-05,0.11566,3e-05,3.54629,0,0.00058,0.00058,3e-05,0.27881,1e-05,0.00065,0.00064,0.42806,0.24284,0.02532,0.75,0.72468,0.43499,0.36036,7e-05,0.12205,0.58779,2e-05,0,0.00029,0.00029,0.58704,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.27,"maxino16.c10"
"TWComp_1en2_N69.wcnf",91700,768015,9e-05,0.1194,4e-05,3.41203,0,7e-04,7e-04,4e-05,0.28014,1e-05,0.00076,0.00075,0.42888,0.24499,0.02778,0.75,0.72222,0.43451,0.35963,9e-05,0.1262,0.59059,2e-05,0,0.00035,0.00035,0.58999,1800,1800,523.17,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.94,"QMaxSAT14"
"TWComp_alarm_N37.wcnf",19868,123493,0.00029,0.16088,0.00016,2.77619,2e-05,0.00228,0.00226,0.00016,0.28863,5e-05,0.00191,0.00186,0.43204,0.2578,0.05,0.75,0.7,0.43045,0.36841,0.00029,0.17248,0.6222,9e-05,2e-05,0.00115,0.00113,0.62167,1800,1800,2.07,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.15,"Optiriss6"
"TWComp_barle_N48.wcnf",38087,265442,0.00018,0.14349,9e-05,3.04839,1e-05,0.00139,0.00138,9e-05,0.28522,3e-05,0.00129,0.00126,0.4304,0.25196,0.03922,0.75,0.71078,0.43234,0.36343,0.00018,0.15263,0.60887,5e-05,1e-05,7e-04,0.00069,0.60839,1800,1800,8.04,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.32,"maxino16.dis"
"TWComp_barley-pp_N26.wcnf",8176,43741,0.00057,0.18692,0.00039,2.42324,7e-05,0.00444,0.00437,0.00039,0.29361,0.00012,0.0033,0.00318,0.4342,0.26833,0.06897,0.75,0.68103,0.42836,0.37898,0.00057,0.20411,0.64278,0.00023,5e-05,0.00224,0.00219,0.641,1800,1800,1.04,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.05,"Optiriss6"
"TWComp_barley2_N48.wcnf",38087,265442,0.00018,0.14349,9e-05,3.04839,1e-05,0.00139,0.00138,9e-05,0.28522,3e-05,0.00129,0.00126,0.4304,0.25196,0.03922,0.75,0.71078,0.43234,0.36343,0.00018,0.15263,0.60887,5e-05,1e-05,7e-04,0.00069,0.60839,1800,1800,7.03,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.32,"QMaxSAT14"
"TWComp_celar02_N100.wcnf",227749,2284957,4e-05,0.09967,1e-05,3.81204,0,0.00034,0.00034,1e-05,0.27886,0,0.00044,0.00044,0.42739,0.23857,0.01942,0.75,0.73058,0.43397,0.3608,4e-05,0.10418,0.57535,1e-05,0,0.00017,0.00017,0.57522,1800,1800,50.68,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.86,"Open.WBO15"
"TWComp_celar09pp_N67.wcnf",84687,703259,9e-05,0.12042,4e-05,3.36129,0,0.00074,0.00074,4e-05,0.27978,1e-05,8e-04,0.00079,0.42914,0.24569,0.02857,0.75,0.72143,0.43402,0.35997,9e-05,0.12704,0.59119,2e-05,0,0.00037,0.00037,0.59096,1800,1800,13.06,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.86,"QMaxSAT16UC"
"TWComp_david-pp_N29.wcnf",10584,60159,0.00047,0.17593,3e-04,2.51437,5e-05,0.00362,0.00357,3e-04,0.29216,9e-05,0.00283,0.00274,0.43406,0.26467,0.0625,0.75,0.6875,0.43012,0.37891,0.00047,0.19306,0.6351,0.00018,3e-05,0.00183,0.0018,0.63193,1800,1800,1.86,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.07,"QMaxSAT14"
"TWComp_david_N87.wcnf",164429,1520988,6e-05,0.10811,2e-05,3.69166,0,0.00045,0.00045,2e-05,0.27552,1e-05,0.00054,0.00053,0.42748,0.24053,0.02222,0.75,0.72778,0.43357,0.35882,6e-05,0.11335,0.58181,1e-05,0,0.00022,0.00022,0.58155,1800,1800,43.41,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.87,"WPM3.2015.co"
"TWComp_eil51.tsp_N51.wcnf",44165,316999,0.00016,0.13932,7e-05,3.10719,1e-05,0.00124,0.00123,7e-05,0.28465,2e-05,0.00118,0.00115,0.4302,0.25032,0.03704,0.75,0.71296,0.43253,0.36268,0.00016,0.14796,0.60568,4e-05,1e-05,0.00062,0.00062,0.60524,1800,1800,1661.84,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.38,"LMHS.2016"
"TWComp_hailfinder_N56.wcnf",55299,416539,0.00013,0.13276,6e-05,3.20123,1e-05,0.00104,0.00103,6e-05,0.28278,2e-05,0.00103,0.00101,0.4298,0.24891,0.0339,0.75,0.7161,0.4325,0.36239,0.00013,0.14052,0.60058,3e-05,0,0.00052,0.00052,0.60034,1800,1800,7.44,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.51,"Optiriss6"
"TWComp_hepar2_N70.wcnf",95794,802039,9e-05,0.11944,3e-05,3.42849,0,0.00068,0.00068,3e-05,0.27952,1e-05,0.00074,0.00073,0.42863,0.24462,0.0274,0.75,0.7226,0.43435,0.35874,9e-05,0.12574,0.59041,2e-05,0,0.00034,0.00034,0.59021,1800,1800,15.04,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.98,"QMaxSAT14"
"TWComp_huck_N74.wcnf",110444,945314,8e-05,0.11683,3e-05,3.50766,0,0.00061,0.00061,3e-05,0.28128,1e-05,0.00068,0.00067,0.42824,0.24345,0.02597,0.75,0.72403,0.43464,0.35796,8e-05,0.12294,0.58848,2e-05,0,0.00031,3e-04,0.58816,1800,1800,18.64,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.16,"QMaxSAT14"
"TWComp_jean_N77.wcnf",121736,1062234,7e-05,0.1146,3e-05,3.54477,0,0.00057,0.00056,3e-05,0.27966,1e-05,0.00064,0.00063,0.42803,0.24252,0.025,0.75,0.725,0.43473,0.35725,7e-05,0.12042,0.58674,2e-05,0,0.00028,0.00028,0.5865,1800,1800,21.77,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.36,"QMaxSAT14"
"TWComp_mainuk_N48.wcnf",38087,265514,0.00018,0.14345,9e-05,3.04811,1e-05,0.00139,0.00138,9e-05,0.28527,3e-05,0.00129,0.00126,0.43042,0.25193,0.03922,0.75,0.71078,0.43249,0.36385,0.00018,0.15286,0.60897,5e-05,1e-05,7e-04,0.00069,0.60823,1800,1800,4.67,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.32,"Optiriss6"
"TWComp_mildew_35.wcnf",17149,104691,0.00032,0.16381,0.00019,2.71333,3e-05,0.00254,0.00251,0.00019,0.28914,6e-05,0.0021,0.00204,0.43252,0.25954,0.05263,0.75,0.69737,0.43015,0.37013,0.00032,0.17625,0.62457,0.00011,2e-05,0.00128,0.00126,0.62381,1800,1800,1.76,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.13,"Optiriss6"
"TWComp_miles500_N128.wcnf",399295,4700878,3e-05,0.08494,1e-05,0,0,0.00021,0.00021,1e-05,0,0,0.00032,0.00032,0.4264,0.23609,0.01527,0.75,0.73473,0.43722,0,3e-05,0.08867,0.56426,0,0,0.00011,0.00011,0.56401,1800,1800,1332.05,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6.06,"WPM3.2015.co"
"TWComp_mulsol.i.5-pp_N119.wcnf",341053,3803650,3e-05,0.08966,1e-05,0,0,0.00025,0.00025,1e-05,0,0,0.00035,0.00035,0.42689,0.23687,0.01639,0.75,0.73361,0.43742,0,3e-05,0.09406,0.56804,1e-05,0,0.00012,0.00012,0.56737,1800,1800,381.06,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4.91,"Open.WBO16"
"TWComp_myciel4_N23.wcnf",6025,30519,0.00072,0.19742,0.00052,2.30888,1e-04,0.00557,0.00547,0.00052,0.29557,0.00017,0.00398,0.00382,0.43511,0.27092,0.07692,0.75,0.67308,0.42744,0.38375,0.00072,0.21701,0.6511,0.00032,7e-05,0.00282,0.00275,0.64878,1800,1800,18.74,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.03,"maxino16.dis"
"TWComp_myciel5_N47.wcnf",36283,249849,0.00018,0.14522,9e-05,3.03204,1e-05,0.00145,0.00144,9e-05,0.28548,3e-05,0.00132,0.0013,0.43055,0.25179,0.04,0.75,0.71,0.43249,0.36439,0.00018,0.155,0.61042,5e-05,1e-05,0.00073,0.00072,0.60948,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,"maxino16.c10"
"TWComp_oesoca+_N67.wcnf",84687,703302,9e-05,0.12041,4e-05,3.36128,0,0.00074,0.00074,4e-05,0.27978,1e-05,8e-04,0.00079,0.42915,0.24568,0.02857,0.75,0.72143,0.43406,0.36007,9e-05,0.12709,0.59122,2e-05,0,0.00037,0.00037,0.59092,1800,1800,147.66,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.86,"maxino16.dis"
"TWComp_oesoca4_N42.wcnf",27656,179807,0.00023,0.15381,0.00012,2.92236,2e-05,0.00179,0.00177,0.00012,0.28704,4e-05,0.00155,0.00152,0.43098,0.25453,0.04444,0.75,0.70556,0.43147,0.36513,0.00023,0.16401,0.61669,7e-05,1e-05,9e-04,0.00089,0.61629,1800,1800,3.13,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.22,"Optiriss6"
"TWComp_oesoca_N39.wcnf",22931,144558,0.00026,0.15863,0.00014,2.84299,2e-05,0.00206,0.00204,0.00014,0.28809,4e-05,0.00174,0.0017,0.43153,0.25596,0.04762,0.75,0.70238,0.43082,0.36712,0.00026,0.1696,0.62042,8e-05,1e-05,0.00104,0.00102,0.61995,1800,1800,2.49,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.17,"Optiriss6"
"TWComp_pathfinder_N109.wcnf",278712,2940591,4e-05,0.09478,1e-05,3.89625,0,0.00029,0.00029,1e-05,0.26743,0,0.00039,0.00039,0.4273,0.23746,0.01786,0.75,0.73214,0.43699,0.36013,4e-05,0.09889,0.57161,1e-05,0,0.00015,0.00015,0.57154,1800,1800,67.05,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.68,"QMaxSAT16UC"
"TWComp_queen5_5_N25.wcnf",7274,38856,0.00062,0.1872,0.00043,2.36925,8e-05,0.00479,0.00471,0.00043,0.2942,0.00014,0.00357,0.00344,0.43514,0.26892,0.07143,0.75,0.67857,0.4292,0.38483,0.00062,0.20736,0.64422,0.00026,5e-05,0.00242,0.00237,0.64011,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.04,"maxino16.c10"
"TWComp_queen6_6_N36.wcnf",18629,114280,0.00031,0.16301,0.00017,2.75131,3e-05,0.0024,0.00237,0.00017,0.28995,5e-05,0.00199,0.00193,0.43223,0.25841,0.05128,0.75,0.69872,0.43142,0.37203,0.00031,0.17687,0.62483,1e-04,2e-05,0.00121,0.00119,0.62229,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.14,"maxino16.c10"
"TWComp_queen7_7_N49.wcnf",39542,281536,0.00017,0.14045,8e-05,3.04919,1e-05,0.00134,0.00133,8e-05,0.28461,3e-05,0.00126,0.00124,0.43062,0.25144,0.03846,0.75,0.71154,0.4331,0.366,0.00017,0.15066,0.60718,5e-05,1e-05,0.00067,0.00067,0.60549,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.34,"maxino16.c10"
"TWComp_ship-ship-pp_N30.wcnf",11594,66448,0.00044,0.17448,0.00027,2.55478,5e-05,0.0034,0.00336,0.00028,0.29128,9e-05,0.00267,0.00259,0.43346,0.26464,0.06061,0.75,0.68939,0.42928,0.37435,0.00044,0.18916,0.63296,0.00016,3e-05,0.00172,0.00169,0.6318,1800,1800,85.97,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.08,"maxino16.dis"
"TWComp_water_N32.wcnf",13423,80071,0.00039,0.16764,0.00024,2.60231,4e-05,0.00302,0.00298,0.00024,0.29045,7e-05,0.00246,0.00238,0.43337,0.26344,0.05714,0.75,0.69286,0.42994,0.37393,0.00039,0.18194,0.62794,0.00014,2e-05,0.00152,0.0015,0.62641,1800,1800,1.92,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.09,"QMaxSAT14"
"TWComp_win95pts_N76.wcnf",118369,1022915,7e-05,0.11572,3e-05,3.54686,0,0.00058,0.00058,3e-05,0.27822,1e-05,0.00065,0.00064,0.42804,0.2428,0.02532,0.75,0.72468,0.43469,0.35727,7e-05,0.12158,0.58758,2e-05,0,0.00029,0.00029,0.58736,1800,1800,20.98,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.25,"Optiriss6"
"atcoss_mesat_02.wcnf",322127,1021283,0.00029,0.31541,1e-05,28.52978,0,0.08832,0.08832,1e-05,0,0,1e-05,1e-05,0.48311,0.27296,0,1,1,0.44559,0.47824,0.05065,0.31839,0.39809,0,0,0.04524,0.04524,0.5322,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.31,"maxino16.c10"
"atcoss_mesat_03.wcnf",321140,969655,0.00031,0.33119,1e-05,0,0,0.09302,0.09302,1e-05,0,0,1e-05,1e-05,0.48288,0.27279,0,1,1,0.44707,0,0.05328,0.33414,0.41794,0,0,0.04765,0.04765,0.54171,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.23,"maxino16.c10"
"atcoss_mesat_04.wcnf",450890,1515125,2e-04,0.29759,1e-05,0,0,0.09796,0.09796,1e-05,0,0,1e-05,1e-05,0.48412,0.28135,0,1,1,0.44778,0,0.0484,0.28849,0.36943,0,0,0.05,0.05,0.51384,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.97,"maxino16.c10"
"atcoss_mesat_05.wcnf",450157,1463573,0.00021,0.30757,1e-05,0,0,0.10141,0.10141,1e-05,0,0,1e-05,1e-05,0.48402,0.28135,0,1,1,0.44886,0,0.05007,0.29769,0.3816,0,0,0.05176,0.05176,0.5193,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.9,"maxino16.c10"
"atcoss_mesat_06.wcnf",449672,1463225,0.00021,0.30732,1e-05,0,0,0.10143,0.10143,1e-05,0,0,1e-05,1e-05,0.48452,0.2763,0,1,1,0.44883,0,0.05006,0.2978,0.38145,0,0,0.05177,0.05177,0.51946,1800,1800,136.64,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.89,"maxino16.dis"
"atcoss_mesat_07.wcnf",354212,1498595,2e-04,0.23636,1e-05,0,0,0.06019,0.06019,1e-05,0,0,1e-05,1e-05,0.48794,0.27409,0,1,1,0.45536,0,0.03825,0.22776,0.29038,0,0,0.03083,0.03083,0.47969,1800,1800,36.08,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.98,"maxino16.c10"
"atcoss_mesat_08.wcnf",354674,1498961,2e-04,0.23661,1e-05,0,0,0.06017,0.06017,1e-05,0,0,1e-05,1e-05,0.48796,0.27413,0,1,1,0.45538,0,0.03826,0.22772,0.29055,0,0,0.03082,0.03082,0.47958,1800,1800,38.57,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.99,"maxino16.dis"
"atcoss_mesat_09.wcnf",353206,1446941,0.00021,0.24411,1e-05,0,0,0.06234,0.06234,1e-05,0,0,1e-05,1e-05,0.48776,0.274,0,1,1,0.4567,0,0.03956,0.23507,0.29982,0,0,0.03193,0.03193,0.48418,1800,1800,55.44,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.91,"maxhs.b"
"atcoss_mesat_11.wcnf",333424,1078359,0.00028,0.3092,1e-05,0,0,0.08938,0.08938,1e-05,0,0,1e-05,1e-05,0.48328,0.27383,0,1,1,0.44491,0,0.04957,0.31239,0.3904,0,0,0.04576,0.04576,0.52868,1800,1800,31.14,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.38,"maxhs.b"
"atcoss_mesat_12.wcnf",334172,1078872,0.00028,0.30974,1e-05,0,0,0.08934,0.08934,1e-05,0,0,1e-05,1e-05,0.48312,0.27331,0,1,1,0.44497,0,0.0496,0.31213,0.39069,0,0,0.04574,0.04574,0.52831,1800,1800,28.79,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.39,"maxino16.dis"
"atcoss_mesat_13.wcnf",467197,1602868,0.00019,0.29148,1e-05,0,0,0.0989,0.0989,1e-05,0,0,1e-05,1e-05,0.4841,0.28162,0,1,1,0.44649,0,0.04731,0.28204,0.36156,0,0,0.05045,0.05045,0.51145,1800,1800,150.32,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.09,"maxhs.b"
"atcoss_mesat_14.wcnf",465408,1600381,0.00019,0.29081,1e-05,0,0,0.09905,0.09905,1e-05,0,0,1e-05,1e-05,0.48479,0.27709,0,1,1,0.44645,0,0.04722,0.28113,0.36057,0,0,0.05053,0.05053,0.5109,1800,1800,156.93,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.07,"maxhs.b"
"atcoss_mesat_15.wcnf",465243,1600427,0.00019,0.2907,1e-05,0,0,0.09905,0.09905,1e-05,0,0,1e-05,1e-05,0.48413,0.28171,0,1,1,0.44643,0,0.04722,0.28134,0.36059,0,0,0.05053,0.05053,0.5111,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.11,"maxino16.c10"
"atcoss_mesat_16.wcnf",367011,1605959,0.00019,0.22853,1e-05,0,0,0.06002,0.06002,1e-05,0,0,1e-05,1e-05,0.48777,0.27351,0,1,1,0.45226,0,0.0369,0.21999,0.28059,0,0,0.03072,0.03072,0.47922,1800,1800,49.05,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.13,"maxino16.dis"
"atcoss_mesat_17.wcnf",366573,1605640,0.00019,0.2283,1e-05,0,0,0.06003,0.06003,1e-05,0,0,1e-05,1e-05,0.48771,0.27354,0,1,1,0.45224,0,0.03689,0.22005,0.28044,0,0,0.03073,0.03073,0.47934,1800,1800,56.03,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.2,"maxino16.c10"
"atcoss_mesat_18.wcnf",366276,1605464,0.00019,0.22814,1e-05,0,0,0.06004,0.06004,1e-05,0,0,1e-05,1e-05,0.48769,0.2735,0,1,1,0.45222,0,0.03688,0.22014,0.28036,0,0,0.03073,0.03073,0.47946,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.13,"maxino16.c10"
